name,desc,sap_cos,coder_cos,svd_cos,old_cos,selected_by,gpt4
PheCode:428.1,congestive heart failure (chf) nos,0.9999995827674866,0.9999999403953552,1.0000005960464478,0.999999701976776,sap&coder&svd&old,1.0
PheCode:428.2,heart failure nos,0.9594486951828004,0.9104089140892028,0.6380864381790161,0.8280725479125977,sap&coder&svd&old,0.9
PheCode:428,congestive heart failure; nonhypertensive,0.940814971923828,0.8447999358177185,0.8817378878593445,0.7719258069992065,sap&coder&svd&old,1.0
PheCode:425.12,other hypertrophic cardiomyopathy,0.9135043621063232,0.6655117273330688,0.2072659879922866,0.7355756163597107,sap&old,0.6
PheCode:401.21,hypertensive heart disease,0.9114164113998412,0.7811014652252197,0.2932996451854706,0.8488407135009766,sap&coder&svd&old,0.75
PheCode:428.4,heart failure with preserved ef [diastolic heart failure],0.9099186062812804,0.7621160745620728,0.46978959441185,0.8029941916465759,sap&coder&svd&old,0.75
PheCode:747.12,valvular heart disease/ heart chambers,0.9093052744865416,0.7534846663475037,0.2081279307603836,0.6989170908927917,sap&coder&old,0.6
PheCode:585.2,renal failure nos,0.90915447473526,0.7359937429428101,0.1729484796524047,0.5794108510017395,sap&coder,0.25
LOINC:11153-4,Hematocrit,0.9080963134765624,0.732479453086853,0.0214778650552034,0.2705254554748535,sap&coder,0.2
PheCode:428.3,heart failure with reduced ef [systolic or combined heart failure],0.9049525260925292,0.8545278310775757,0.5290960669517517,0.8329831957817078,sap&coder&svd&old,0.9
PheCode:425.11,hypertrophic obstructive cardiomyopathy,0.904855728149414,0.6842422485351562,0.2769314348697662,0.7045029401779175,sap&svd&old,0.6
PheCode:414,other forms of chronic heart disease,0.9047627449035645,0.7748637199401855,0.2868084907531738,0.7672423124313354,sap&coder&svd&old,0.75
PheCode:401.2,hypertensive heart and/or renal disease,0.9025238752365112,0.7419233322143555,0.3113350570201874,0.5774665474891663,sap&coder&svd,0.75
PheCode:427.4,cardiac arrest and ventricular fibrillation,0.9024792313575744,0.7446468472480774,0.1759181022644043,0.6154447197914124,sap&coder,0.7
PheCode:425.8,other cardiomyopathy,0.9013567566871644,0.7347223162651062,0.2194950580596923,0.7767008543014526,sap&coder&svd&old,0.7
PheCode:427,cardiac dysrhythmias,0.901186466217041,0.764481246471405,0.5022282600402832,0.7036181688308716,sap&coder&svd&old,0.5
LOINC:LP96138-0,Cardiac heart disease risk,0.9008566737174988,0.7434089779853821,0.0070349494926631,0.3243095278739929,sap&coder,0.75
PheCode:509,"respiratory failure, insufficiency, arrest",0.898777425289154,0.7649964690208435,0.0527301169931888,0.3639811873435974,sap&coder,0.4
PheCode:416,cardiomegaly,0.8985456228256226,0.790741503238678,0.5271050333976746,0.7764074206352234,sap&coder&svd&old,0.7
PheCode:585,renal failure,0.8979100584983826,0.7255457639694214,0.1988701224327087,0.4566319286823272,sap,0.35
PheCode:585.3,chronic renal failure [ckd],0.8977339267730713,0.7956587672233582,0.1789602190256118,0.5731309056282043,sap&coder,0.35
PheCode:276.6,fluid overload,0.8976843953132629,0.7337427735328674,0.2552075088024139,0.7093726396560669,sap&coder&svd&old,0.75
PheCode:415.2,chronic pulmonary heart disease,0.8972025513648987,0.8206102252006531,0.4375170767307281,0.7465442419052124,sap&coder&svd&old,0.5
PheCode:411,ischemic heart disease,0.8970831036567688,0.7755971550941467,0.481438547372818,0.6567285060882568,sap&coder&svd&old,0.75
PheCode:401.22,hypertensive chronic kidney disease,0.8968441486358643,0.7227658033370972,0.214670792222023,0.5224540829658508,sap,0.5
PheCode:509.1,respiratory failure,0.896457850933075,0.7560387849807739,0.0903397724032402,0.454259306192398,sap&coder,0.4
PheCode:425,cardiomyopathy,0.8962736129760742,0.8037288784980774,0.5424336194992065,0.7569300532341003,sap&coder&svd&old,0.75
PheCode:797.1,cardiogenic shock,0.8949878811836243,0.80792635679245,0.2943783700466156,0.6813852787017822,sap&coder&svd&old,0.75
PheCode:401.3,other hypertensive complications,0.894159734249115,0.6649609804153442,0.0417024940252304,0.573508620262146,sap,0.5
PheCode:788,syncope and collapse,0.8940751552581787,0.753274142742157,0.1676611900329589,0.6295150518417358,sap&coder&old,0.3
PheCode:427.5,arrhythmia (cardiac) nos,0.8939135074615479,0.7481738328933716,0.2110925465822219,0.6612973809242249,sap&coder&old,0.5
CCS:49,other or heart procedures,0.8934375643730164,0.7028772830963135,0.2306964844465255,0.5750402808189392,sap&svd,0.5
PheCode:429.9,"cardiac complications, not elsewhere classified",0.8933228254318237,0.7805430293083191,0.1172086521983146,0.6990914344787598,sap&coder&old,0.7
PheCode:585.1,acute renal failure,0.8933165669441223,0.7096059918403625,0.1993037909269333,0.5918652415275574,sap,0.35
PheCode:395,heart valve disorders,0.8932380676269531,0.7351408004760742,0.4243807792663574,0.7338895797729492,sap&coder&svd&old,0.6
PheCode:425.1,primary/intrinsic cardiomyopathies,0.8929764032363892,0.7404636740684509,0.5364634394645691,0.8161081671714783,sap&coder&svd&old,0.75
PheCode:427.3,other specified cardiac dysrhythmias,0.8912099003791809,0.7006611227989197,0.1847992688417434,0.6459659337997437,sap&old,0.5
CCS:54,"other vascular catheterization, not heart",0.8909070491790771,0.6439517736434937,0.0276901442557573,0.4195666313171386,sap,0.1
PheCode:426.25,other heart block,0.8906087875366211,0.7418189644813538,0.1596636027097702,0.5407063364982605,sap&coder,0.3
CCS:62,other diagnostic cardiovascular procedures,0.8905353546142578,0.6385522484779358,0.2008517980575561,0.3064465820789337,sap,0.5
PheCode:415,pulmonary heart disease,0.8900367617607117,0.7057247757911682,0.2624045312404632,0.6454485654830933,sap&svd&old,0.6
PheCode:426.8,other cardiac conduction disorders,0.8882501125335693,0.6961092352867126,0.1124219074845314,0.6777488589286804,sap&old,0.3
PheCode:503,pulmonary congestion and hypostasis,0.8878784775733948,0.7707245945930481,0.3451316058635711,0.7074451446533203,sap&coder&svd&old,0.75
PheCode:429.3,symptoms involving cardiovascular system,0.8871774077415466,0.7842678427696228,0.141432300209999,0.7088207602500916,sap&coder&old,0.75
PheCode:415.1,acute pulmonary heart disease,0.8870959281921387,0.7464321851730347,0.0731051787734031,0.4396254122257232,sap&coder,0.6
PheCode:427.42,cardiac arrest,0.8869063258171082,0.7709311842918396,0.1327721625566482,0.6164308190345764,sap&coder&old,0.5
PheCode:426,cardiac conduction disorders,0.8865674138069153,0.7328202128410339,0.4301348626613617,0.7519903182983398,sap&coder&svd&old,0.5
PheCode:420,carditis,0.8864212036132812,0.7886192202568054,0.1596713662147522,0.6582949161529541,sap&coder&old,0.5
PheCode:394.4,acute rheumatic heart disease,0.8864185214042664,0.7146762013435364,0.2825348675251007,0.7447935342788696,sap&svd&old,0.4
PheCode:1100,family history,0.8851755857467651,0.6552382111549377,0.0078998189419507,0.3759660124778747,sap,0.2
PheCode:429,ill-defined descriptions and complications of heart disease,0.8848677277565002,0.808689534664154,0.1910059303045272,0.6667705774307251,sap&coder&old,0.7
RXNORM:794805,HEAT/MOISTURE EXCHANGE,0.8848463892936707,0.6601552367210388,0.0483483411371707,0.224910631775856,sap,0.1
LOCAL|LAB:FLUID OUT,fluid output,0.8847348093986511,0.7099399566650391,0.0170180406421422,0.2223843783140182,sap,0.3
PheCode:425.2,secondary/extrinsic cardiomyopathies,0.8843900561332703,0.7287884950637817,0.4487091600894928,0.7911779880523682,sap&svd&old,0.75
PheCode:512.9,other dyspnea,0.8835463523864746,0.7190210223197937,0.203023076057434,0.4803470373153686,sap,0.5
CCS:43,heart valve procedures,0.8832852840423584,0.7048950791358948,0.1641485095024109,0.581400990486145,sap,0.6
PheCode:276.5,hypovolemia,0.8832293152809143,0.7258025407791138,0.0782173871994018,0.4294416606426239,sap,0.2
PheCode:747,cardiac and circulatory congenital anomalies,0.8831602334976196,0.746459424495697,0.1415403634309768,0.6276019215583801,sap&coder&old,0.25
PheCode:972.1,cardiac rhythm regulators causing adverse effects in therapeutic use,0.8825233578681946,0.675811767578125,0.3261987268924713,0.5273980498313904,sap&svd,0.25
PheCode:459.9,circulatory disease nec,0.8824732899665833,0.7344506978988647,0.1569930464029312,0.5939266085624695,sap&coder,0.7
PheCode:427.9,palpitations,0.8822564482688904,0.7634661793708801,0.0735412016510963,0.5422777533531189,sap&coder,0.3
PheCode:401,hypertension,0.8821002244949341,0.7117153406143188,0.2052157521247863,0.4889775216579437,sap,0.5
Other lab:1200002592,Cardiac Risk Factor Test,0.8819176554679871,0.7272904515266418,-0.0070652985014021,0.3177564144134521,sap,0.25
CCS:236,home health services,0.8817107677459717,0.665182888507843,0.1725894212722778,0.2966228127479553,sap,0.2
Other lab:800005563,Cardiac Risk Factor Assessment,0.8812611103057861,0.714618980884552,0.0134401572868227,0.279241681098938,sap,0.5
CCS:63,other non-or therapeutic cardiovascular procedures,0.8812353610992432,0.6649988293647766,0.0335281565785408,0.311022400856018,sap,0.5
LOINC:19225-2,Deoxyhemoglobin/Hemoglobin.total,0.8802552819252014,0.6485598683357239,0.0183289740234613,0.2211936265230178,sap,0.1
ShortName:HCT,hematocrit,0.8799805045127869,0.7050188183784485,0.0664452537894249,0.2754595577716827,sap,0.2
Other lab:pack279,Hematocrit,0.8799805045127869,0.7050188183784485,0.0389180481433868,0.2817218601703644,sap,0.2
PheCode:564,functional digestive disorders,0.8793593049049377,0.6646703481674194,-0.0108962720260024,0.3903014659881592,sap,0.0
CCS:245,Syncope,0.8793482184410095,0.7481493353843689,0.0068038166500627,0.2756199240684509,sap&coder,0.3
PheCode:603.1,hydrocele,0.8790696263313293,0.6540522575378418,0.0242052692919969,0.3093868196010589,sap,0.0
PheCode:427.41,ventricular fibrillation and flutter,0.8789368867874146,0.7160683870315552,0.2902335226535797,0.6665138602256775,sap&svd&old,0.7
LOCAL|LAB:RENAL FAILURE INDEX,renal failure index,0.8786753416061401,0.6737412214279175,0.035105749964714,0.1787742227315902,sap,0.35
