0,name,desc,sap_cos,sap_LP_cos,coder_cos,coder_LP_cos,svd_cos,old_cos,old_LP_cos,new_cos,new_LP_cos,selected_by,gpt4
0,PheCode:250.1,type 1 diabetes,0.9999995827674866,0.9999996423721313,1.0000003576278687,0.9999998211860657,0.9999991059303284,1.0000003576278687,1.000002145767212,0.9999998211860657,0.9999995231628418,sap&sap_LP&coder&coder_LP&svd&old&old_LP&new&new_LP,1.0
0,PheCode:250,diabetes mellitus,0.9630770087242126,0.9630767107009888,0.8138217926025391,0.8138217926025391,0.5497224926948547,0.8543076515197754,0.8540396690368652,0.8605856895446777,0.8447317481040955,sap&sap_LP&coder&coder_LP&svd&old&old_LP&new&new_LP,0.75
0,LOINC:LP30832-7,Diabetes status,0.957656741142273,0.9576571583747864,0.7748931050300598,0.7748932242393494,0.006126116495579481,0.2354753166437149,0.2985121011734009,0.22149981558322906,0.18482111394405365,sap&sap_LP&coder&coder_LP,0.75
0,PheCode:250.14,type 1 diabetes with neurological manifestations,0.9570522308349609,0.9570522904396057,0.7434641718864441,0.7434642314910889,0.730819821357727,0.8703088760375977,0.8667614459991455,0.8831823468208313,0.8711451888084412,sap&sap_LP&coder&coder_LP&svd&old&old_LP&new&new_LP,1.0
0,LOINC:33248-6,Diabetes status Patient,0.9530461430549622,0.9576571583747864,0.7258442640304565,0.7748932242393494,0.006126116495579481,0.24635982513427734,0.2955700159072876,0.23273307085037231,0.14531095325946808,sap&sap_LP&coder&coder_LP,0.75
0,PheCode:250.12,type 1 diabetes with renal manifestations,0.9480414986610413,0.9480417370796204,0.7517945170402527,0.7517945766448975,0.653195321559906,0.8573402166366577,0.8541691899299622,0.8643945455551147,0.8501169681549072,sap&sap_LP&coder&coder_LP&svd&old&old_LP&new&new_LP,1.0
0,ShortName:Glucose,glucose,0.9460684657096863,0.9460688233375549,0.7065346240997314,0.7065345644950867,0.04487593472003937,0.2942095100879669,0.3007378578186035,0.27127334475517273,0.18907946348190308,sap&sap_LP&coder&coder_LP,0.75
0,RXNORM:4850,glucose,0.9460684657096863,0.9460688233375549,0.7065346240997314,0.7065345644950867,0.20176748931407928,0.3541658818721771,0.34738093614578247,0.3061348795890808,0.2626403868198395,sap&sap_LP&coder&coder_LP&svd,0.75
0,LOCAL|LAB:GLUCOSE,glucose,0.9460684657096863,0.9460688233375549,0.7065346240997314,0.7065345644950867,-0.004916162230074406,0.36340054869651794,0.3684351146221161,0.33041098713874817,0.23937825858592987,sap&sap_LP&coder&coder_LP,0.75
0,LOINC:LP14635-4,Glucose,0.9460684657096863,0.9460688233375549,0.7065346240997314,0.7065345644950867,0.12442285567522049,0.424375057220459,0.4316380023956299,0.4343811869621277,0.3416775166988373,sap&sap_LP&coder&coder_LP,0.75
