name,desc,sap_cos,coder_cos,svd_cos,old_cos,new1_cos,new2_cos,selected_by,GPT3.5_TRUE,GPT3.5_FALSE,COMMON,gpt3.5,gpt4
CCS:193,diagnostic ultrasound of heart (echocardiogram),0.8563360571861267,0.6870014071464539,0.4475733041763305,0.6948378086090088,0.6570255160331726,0.6515693068504333,svd,False,True,False,0,0.75
CCS:201,cardiac stress tests,0.8702649474143982,0.7547104358673096,0.1930556446313858,0.658908486366272,0.5557824969291687,0.5684911608695984,coder,False,False,False,0,0.5
CCS:203,electrographic cardiac monitoring,0.8247778415679932,0.6931062936782837,0.4516034126281738,0.7210055589675903,0.6533686518669128,0.6423894166946411,svd,False,True,False,0,0.5
CCS:204,swan-ganz catheterization for monitoring,0.7885791659355164,0.6710090041160583,0.3838496804237366,0.6139967441558838,0.5621318221092224,0.595392644405365,svd,True,False,False,0,0.75
CCS:225,conversion of cardiac rhythm,0.8725032210350037,0.7821210026741028,0.3609813749790191,0.708626925945282,0.683013916015625,0.6729850769042969,coder&svd,False,True,False,0,0.3
CCS:236,home health services,0.8817114233970642,0.665182888507843,0.2590693235397339,0.3768641352653503,0.2705883681774139,0.2744999825954437,sap,False,False,False,0,0.2
CCS:43,heart valve procedures,0.8832861185073853,0.7048954963684082,0.2773505449295044,0.6191160678863525,0.592003345489502,0.5905162692070007,sap,False,False,False,0,0.6
CCS:47,"diagnostic cardiac catheterization, coronary arteriography",0.8362339735031128,0.6324905157089233,0.4930764734745025,0.6988089680671692,0.6385841965675354,0.6359817981719971,svd,False,True,False,0,0.5
CCS:48,"insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator",0.5775738954544067,0.6959296464920044,0.4879621565341949,0.6519671082496643,0.6174325346946716,0.612144947052002,svd,False,True,False,0,0.75
CCS:49,other or heart procedures,0.893437922000885,0.7028771638870239,0.3717931807041168,0.6902770400047302,0.6220307350158691,0.6191359758377075,sap&svd,False,True,False,0,0.5
CCS:54,"other vascular catheterization, not heart",0.8909074068069458,0.6439518332481384,0.0495281815528869,0.4631313681602478,0.3562506139278412,0.3751732409000397,sap,False,False,False,0,0.1
CCS:58,hemodialysis,0.8776148557662964,0.7023543119430542,0.1323017477989196,0.5210920572280884,0.5390220284461975,0.5583998560905457,sap,False,False,False,0,0.25
CCS:62,other diagnostic cardiovascular procedures,0.8905355334281921,0.6385523676872253,0.3722508251667022,0.6755046248435974,0.3266989290714264,0.3239980936050415,sap&svd,False,True,False,0,0.5
CCS:63,other non-or therapeutic cardiovascular procedures,0.8812358379364014,0.6649987697601318,0.0346773266792297,0.3160597383975982,0.3484354317188263,0.3568568825721741,sap,False,False,False,0,0.5
LOINC:10535-3,Digoxin,0.8461943864822388,0.6350556015968323,0.5166642665863037,0.7514670491218567,0.7533947229385376,0.7544721364974976,svd&old&new1&new2,False,False,False,0,0.75
LOINC:11153-4,Hematocrit,0.8799813389778137,0.7050189971923828,0.0690680518746376,0.2632347643375397,0.2399771511554718,0.2458721697330474,sap,False,False,False,0,0.2
LOINC:11559-2,Oxyhemoglobin/Hemoglobin.total,0.8143227100372314,0.6575826406478882,0.3986090123653412,0.3499055504798889,0.2880014479160309,0.2867414653301239,svd,False,False,False,0,0.1
LOINC:13508-7,Hematocrit,0.8799813389778137,0.7050189971923828,-0.007294600829482,0.2832311987876892,0.2647541761398315,0.2712191045284271,sap,False,False,False,0,0.2
LOINC:14286-9,Carnitine free (C0),0.8419715166091919,0.7502841949462891,0.0049910270608961,0.2815310359001159,0.2960408329963684,0.2946412861347198,coder,False,False,False,0,0.0
LOINC:2216-0,DOPamine,0.8139641880989075,0.6088765859603882,0.0395258851349353,0.7350736856460571,0.7209569215774536,0.7207856178283691,new1&new2,False,False,False,0,0.0
LOINC:2230-1,EPINEPHrine,0.8339512944221497,0.600553035736084,0.0569001659750938,0.7114655375480652,0.7129318714141846,0.7148040533065796,new1&new2,False,False,False,0,0.1
LOINC:30934-4,Natriuretic peptide B,0.841746985912323,0.5948240756988525,0.551000714302063,0.3373763859272003,0.3113659620285034,0.3088630437850952,svd,False,False,False,0,0.75
LOINC:33762-6,Natriuretic peptide.B prohormone N-Terminal,0.774624228477478,0.5603751540184021,0.5459522008895874,0.3162622153759002,0.2754188776016235,0.264554500579834,svd,False,False,False,0,0.75
LOINC:4544-3,Hematocrit,0.8799813389778137,0.7050189971923828,0.141718104481697,0.4076442122459411,0.3841686546802521,0.3889121115207672,sap,False,False,False,0,0.2
LOINC:4545-0,Hematocrit,0.8799813389778137,0.7050189971923828,0.0396926365792751,0.3383830189704895,0.3135125935077667,0.3154554665088653,sap,False,False,False,0,0.2
LOINC:6598-7,Troponin T.cardiac,0.7993695139884949,0.6565954089164734,0.3686517775058746,0.351694256067276,0.3000193238258362,0.2945091724395752,svd,False,False,False,0,0.5
LOINC:721-1,Free Hemoglobin,0.8646952509880066,0.711464524269104,0.3633880913257599,0.3573381006717682,0.2667201459407806,0.2670335173606872,svd,False,False,False,0,0.1
LOINC:801-1,Sickle cells,0.7862380743026733,0.7359552383422852,0.0036898956168442,0.3469650745391845,0.338357150554657,0.3476324379444122,coder,False,False,False,0,0.1
LOINC:X1166-8,crp (mg/l) (group:crpt),0.7104058861732483,0.736110508441925,-0.0222817547619342,0.1508281081914901,0.1175572350621223,0.1237565800547599,coder,False,False,False,0,0.2
PheCode:276.5,hypovolemia,0.8832299113273621,0.7258027791976929,0.1244971603155136,0.515182614326477,0.4953729212284088,0.5061279535293579,sap,False,False,False,0,0.2
PheCode:286,coagulation defects,0.8563615083694458,0.6928201913833618,0.3609019815921783,0.622816801071167,0.5368620753288269,0.5614984631538391,svd,False,False,False,0,0.2
PheCode:286.2,encounter for long-term (current) use of anticoagulants,0.7998795509338379,0.7114811539649963,0.3931832909584045,0.6602985262870789,0.6685776114463806,0.6730071902275085,svd,False,True,False,0,0.25
PheCode:338.2,chronic pain,0.8307772874832153,0.7315620183944702,0.0102327018976211,0.4231230914592743,0.3115129768848419,0.3098766803741455,coder,False,False,False,0,0.1
PheCode:355,complex regional/central pain syndrome,0.7976858615875244,0.7436613440513611,-0.0055276402272284,0.421831876039505,0.3746043741703033,0.3747039437294006,coder,False,False,False,0,0.0
PheCode:355.1,chronic pain syndrome,0.8220840692520142,0.7363950610160828,-0.0037287771701812,0.3557225465774536,0.2960873246192932,0.2957608997821808,coder,False,False,False,0,0.1
PheCode:394,rheumatic disease of the heart valves,0.8685032725334167,0.7244320511817932,0.5124608278274536,0.7888844609260559,0.7968742251396179,0.7914459109306335,svd&old&new1&new2,False,False,True,0,0.5
PheCode:394.1,mitral valve stenosis and aortic valve stenosis,0.8148165345191956,0.6320114135742188,0.4738302528858185,0.7465752363204956,0.7238785028457642,0.7224250435829163,svd&old&new1&new2,False,False,True,0,0.75
PheCode:394.7,disease of tricuspid valve,0.8495961427688599,0.6811484694480896,0.4901686608791351,0.7944009304046631,0.7967503666877747,0.8034288883209229,svd&old&new1&new2,False,False,True,0,0.6
PheCode:395,heart valve disorders,0.8932384848594666,0.7351408004760742,0.5127624273300171,0.7959645986557007,0.7774360179901123,0.7719824314117432,sap&coder&svd&old&new1&new2,False,False,True,0,0.6
PheCode:395.1,nonrheumatic mitral valve disorders,0.8314601182937622,0.6653023362159729,0.5460324287414551,0.7940359711647034,0.7869426012039185,0.7836430668830872,svd&old&new1&new2,False,False,True,0,0.5
PheCode:395.2,nonrheumatic aortic valve disorders,0.824857234954834,0.6241000890731812,0.4394302666187286,0.7971537709236145,0.7629284858703613,0.7588695287704468,svd&old&new1&new2,False,True,False,0,0.5
PheCode:395.6,heart valve replaced,0.8633156418800354,0.736976683139801,0.4315714836120605,0.7739552855491638,0.7691153883934021,0.7622922658920288,coder&svd&old&new1&new2,False,True,False,0,0.5
PheCode:401,hypertension,0.8821008801460266,0.7117152810096741,0.2293656468391418,0.5190173387527466,0.4080650508403778,0.4741284251213074,sap,True,False,False,0,0.5
PheCode:401.2,hypertensive heart and/or renal disease,0.9025254845619202,0.7419231534004211,0.3248239755630493,0.637030303478241,0.6182892918586731,0.6519758701324463,sap&coder,True,False,False,0,0.75
PheCode:401.21,hypertensive heart disease,0.9114166498184204,0.7811015248298645,0.3414004147052765,0.820285439491272,0.8390384316444397,0.8451048731803894,sap&coder&old&new1&new2,True,False,False,0,0.75
PheCode:411,ischemic heart disease,0.8970838189125061,0.775597333908081,0.5274216532707214,0.7891157865524292,0.7508498430252075,0.7439954876899719,sap&coder&svd&old&new1&new2,False,False,True,0,0.75
PheCode:411.2,myocardial infarction,0.8729068636894226,0.7497096657752991,0.4453917741775512,0.8279137015342712,0.7840340733528137,0.7779877781867981,coder&svd&old&new1&new2,False,False,True,0,0.75
PheCode:411.3,angina pectoris,0.8777355551719666,0.7966820597648621,0.2030695378780365,0.798882782459259,0.742556095123291,0.7366283535957336,sap&coder&old&new1&new2,False,False,False,0,0.4
PheCode:411.4,coronary atherosclerosis,0.8556481599807739,0.6877453923225403,0.4763694107532501,0.8101446628570557,0.7710549831390381,0.7596790790557861,svd&old&new1&new2,False,False,True,0,0.75
PheCode:411.8,"other chronic ischemic heart disease, unspecified",0.8725741505622864,0.7417165040969849,0.6143016219139099,0.8253080248832703,0.7891584634780884,0.7839378118515015,coder&svd&old&new1&new2,False,False,True,0,0.75
PheCode:414,other forms of chronic heart disease,0.9047636985778807,0.7748635411262512,0.3344700932502746,0.8113791346549988,0.7486246228218079,0.7678081393241882,sap&coder&old&new1&new2,False,False,False,0,0.75
