name,desc,gpt4
CCS:193,diagnostic ultrasound of heart (echocardiogram),0.75
CCS:201,cardiac stress tests,0.5
CCS:203,electrographic cardiac monitoring,0.5
CCS:204,swan-ganz catheterization for monitoring,0.75
CCS:225,conversion of cardiac rhythm,0.3
CCS:236,home health services,0.2
CCS:43,heart valve procedures,0.6
CCS:47,"diagnostic cardiac catheterization, coronary arteriography",0.5
CCS:48,"insertion, revision, replacement, removal of cardiac pacemaker or cardioverter/defibrillator",0.75
CCS:49,other or heart procedures,0.5
CCS:54,"other vascular catheterization, not heart",0.1
CCS:58,hemodialysis,0.25
CCS:62,other diagnostic cardiovascular procedures,0.5
CCS:63,other non-or therapeutic cardiovascular procedures,0.5
LOINC:10535-3,Digoxin,0.75
LOINC:11153-4,Hematocrit,0.2
LOINC:11559-2,Oxyhemoglobin/Hemoglobin.total,0.1
LOINC:13508-7,Hematocrit,0.2
LOINC:14286-9,Carnitine free (C0),0.0
LOINC:2216-0,DOPamine,0.0
LOINC:2230-1,EPINEPHrine,0.1
LOINC:30934-4,Natriuretic peptide B,0.75
LOINC:33762-6,Natriuretic peptide.B prohormone N-Terminal,0.75
LOINC:4544-3,Hematocrit,0.2
LOINC:4545-0,Hematocrit,0.2
LOINC:6598-7,Troponin T.cardiac,0.5
LOINC:721-1,Free Hemoglobin,0.1
LOINC:801-1,Sickle cells,0.1
LOINC:X1166-8,crp (mg/l) (group:crpt),0.2
PheCode:276.5,hypovolemia,0.2
PheCode:286,coagulation defects,0.2
PheCode:286.2,encounter for long-term (current) use of anticoagulants,0.25
PheCode:338.2,chronic pain,0.1
PheCode:355,complex regional/central pain syndrome,0.0
PheCode:355.1,chronic pain syndrome,0.1
PheCode:394,rheumatic disease of the heart valves,0.5
PheCode:394.1,mitral valve stenosis and aortic valve stenosis,0.75
PheCode:394.7,disease of tricuspid valve,0.6
PheCode:395,heart valve disorders,0.6
PheCode:395.1,nonrheumatic mitral valve disorders,0.5
PheCode:395.2,nonrheumatic aortic valve disorders,0.5
PheCode:395.6,heart valve replaced,0.5
PheCode:401,hypertension,0.5
PheCode:401.2,hypertensive heart and/or renal disease,0.75
PheCode:401.21,hypertensive heart disease,0.75
PheCode:411,ischemic heart disease,0.75
PheCode:411.2,myocardial infarction,0.75
PheCode:411.3,angina pectoris,0.4
PheCode:411.4,coronary atherosclerosis,0.75
PheCode:411.8,"other chronic ischemic heart disease, unspecified",0.75
PheCode:414,other forms of chronic heart disease,0.75
PheCode:414.2,ascvd,0.75
PheCode:415,pulmonary heart disease,0.6
PheCode:415.1,acute pulmonary heart disease,0.6
PheCode:416,cardiomegaly,0.7
