desc,gpt4
diagnostic endocrine procedures,0.5
"debridement of wound, infection or burn",0.2
destruction of lesion of retina and choroid,0.75
other non-or therapeutic procedures on skin and breast,0.1
hemodialysis,0.2
peritoneal dialysis,0.25
Pancreatic islet cell Ab,0.85
C peptide,0.75
Glucose,0.75
Fructosamine,0.75
Proinsulin,0.75
Islet cell 512 Ab,0.75
Insulin,0.9
Acetone,0.75
Insulin Ab,0.9
Beta hydroxybutyrate,0.75
glucose (poc) (group:glu-poc),0.75
herpes simplex,0.0
human immunodeficiency virus [hiv] disease,0.0
dermatophytosis / dermatomycosis,0.1
dermatophytosis,0.1
dermatophytosis of nail,0.1
screening for malignant neoplasms of the skin,0.0
graves' disease,0.2
diabetes mellitus,0.75
type 1 diabetes,1.0
type 2 diabetes,0.0
type 2 diabetes with ketoacidosis,0.2
type 2 diabetes with neurological manifestations,0.0
insulin pump user,0.9
abnormal glucose,0.75
other abnormal glucose,0.5
other disorders of pancreatic internal secretion,0.75
hypoglycemia,0.75
proteinuria,0.6
hyperglyceridemia,0.3
hyperpotassemia,0.2
other disorders of metabolism,0.2
obesity,0.2
other anemias,0.2
major depressive disorder,0.2
tobacco use disorder,0.1
other retinal disorders,0.75
other nondiabetic retinopathy,0.25
glaucoma,0.2
cataract,0.35
hypertension,0.2
essential hypertension,0.2
hypertensive heart and/or renal disease,0.2
acute pancreatitis,0.2
nephritis and nephropathy without mention of glomerulonephritis,0.75
nephritis and nephropathy in diseases classified elsewhere,0.75
chronic renal failure [ckd],0.75
end stage renal disease,0.75
"chronic kidney disease, stage iii",0.75
"chronic kidney disease, stage iv",0.75
"chronic kidney disease, stage i or ii",0.75
"other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium",0.2
"diseases of nail, nos",0.05
symptoms of the muscles,0.2
edema,0.3
hydralazine,0.0
Insulin soluble,0.75
diabetes insipidus,0.0
anemia of chronic disease,0.2
other hypertensive complications,0.2
"peripheral vascular disease, unspecified",0.25
noninfectious disorders of lymphatic channels,0.0
circulatory disease nec,0.2
disorders of function of stomach,0.1
gastroparesis,0.75
renal dialysis,0.75
chronic ulcer of unspecified site,0.25
chromosomal anomalies,0.1
complication due to other implant and internal device,0.1
effects radiation nos,0.0
glucose,0.75
pancreatic cancer,0.1
secondary diabetes mellitus,0.0
type 1 diabetes with ketoacidosis,1.0
type 1 diabetes with neurological manifestations,1.0
type 2 diabetes with renal manifestations,0.0
type 2 diabetes with ophthalmic manifestations,0.0
impaired fasting glucose,0.5
hyperparathyroidism,0.1
anemia in chronic kidney disease,0.25
spinocerebellar disease,0.0
peripheral autonomic neuropathy,0.75
other demyelinating diseases of central nervous system,0.1
macular degeneration (senile) of retina nos,0.2
diplopia and disorders of binocular vision,0.1
disorders of vitreous body,0.2
hypertensive chronic kidney disease,0.25
celiac disease,0.5
nephrotic syndrome without mention of glomerulonephritis,0.6
