0,RXNORM:60207,dorzolamide,0.0
0,LOINC:6288-5,Yellow Hornet IgE Qn,0
0,LOINC:65771-8,Peanut (nAra h) 3 IgE Qn,0
0,LOINC:LP36909-7,Ethyl glucuronide,0
0,PheCode:750.21,congenital anomalies of intestine,0
0,LOINC:2093-3,Cholest SerPl-mCnc,0.0
0,LOINC:LP15959-7,Clotting time,0.1
0,RXNORM:1425099,trametinib,0.0
0,LOINC:2064-4,Ceruloplasmin SerPl-mCnc,0.1
0,LOINC:LP286254-0,IgG clearance/Albumin clearance,0.1
0,LOINC:6237-2,Salmon IgE Qn,0.0
0,LOINC:LP14597-6,Platelets,0.1
0,PheCode:599.5,frequency of urination and polyuria,0.1
0,LOINC:54143-3,G vaginalis DNA Vag Ql Probe+sig amp,0
0,LOINC:LP40013-2,Tissue Transglutaminase IgG,0.1
0,CCS:109,procedures on the urethra,0.0
0,CCS:12,other therapeutic endocrine procedures,0.1
0,PheCode:367.2,astigmatism,0.0
0,LOINC:LP18888-5,Alpha hydroxyalprazolam,0.0
0,LOINC:LP21311-3,Indinavir,0.0
0,RXNORM:1111,arsenic,0
0,LOINC:33980-4,VGCC-P/Q Bind Ab Ser-sCnc,0.1
0,LOINC:3312-6,Alpraz SerPl-mCnc,0.0
0,PheCode:433.8,late effects of cerebrovascular disease,0.0
0,PheCode:290.12,dementia with cerebral degenerations,0.0
0,CCS:215,other physical therapy and rehabilitation,0.5
0,RXNORM:84857,anastrozole,0.0
0,LOINC:7830-3,C burnet Ph2 IgG Ser-aCnc,0.0
0,LOINC:LP15650-2,Hydroxyproline,0.2
0,LOINC:32730-4,Beta1 Glob SerPl Elph-mCnc,0.1
0,LOINC:2666-6,Norepineph Plas-mCnc,0.0
0,LOINC:LP228620-3,HFE gene mutations tested for,0.1
0,PheCode:795.8,abnormal tumor markers,0.1
0,LOINC:30161-4,Citrulline/Creat Ur-Rto,0.75
0,LOINC:7556-4,Ovalb IgE Qn,0.1
0,RXNORM:461016,eszopiclone,0.0
0,LOINC:22191-1,C trach IgG Titr Ser,0.0
0,CCS:74,"gastrectomy, partial and total",0.05
0,LOINC:LP14499-5,Follitropin,0.0
0,PheCode:286.1,congenital coagulation defects,0.0
0,LOINC:10579-1,WBC # Smn,0.1
0,LOINC:LP286666-5,N-methylhistamine/Creatinine,0.1
0,PheCode:690,erythematosquamous dermatosis,0.1
0,LOINC:LP15428-3,Base deficit,0.0
0,PheCode:614.5,"inflammatory disease of cervix, vagina, and vulva",0.1
0,LOINC:33224-7,Fine Gran Casts #/area UrnS HPF,0
0,LOINC:19520-6,LORazepam Ur Ql Scn,0.0
0,PheCode:528.12,oral aphthae,0.2
0,LOINC:LP37442-8,Brucella sp IgM,0.0
0,LOINC:LP16478-7,Leukocyte phosphatase,0.1
0,LOINC:20440-4,Glucose 1.5h p Glc SerPl-mCnc,0.0
0,LOINC:LP62821-1,Glomerular filtration rate.predicted among blacks,0.0
0,LOINC:56540-8,GAD65 Ab Ser IA-aCnc,0.1
0,PheCode:324,other cns infection and poliomyelitis,0.0
0,RXNORM:3255,desoximetasone,0.5
0,PheCode:478,throat pain,0.1
0,PheCode:512.2,painful respiration,0.1
0,RXNORM:2582,clindamycin,0.0
0,LOINC:X1740-0,carbon dioxide (poc) (group:co2-poc),0.1
0,LOINC:21397-5,Mononuc Cells # Fld Manual,0.1
